"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00047965","SANTA ROSA, CA US","2010-05-01","77","45","75"
"USC00047965","SANTA ROSA, CA US","2010-05-02","82","49","81"
"USC00047965","SANTA ROSA, CA US","2010-05-03","79","49","77"
"USC00047965","SANTA ROSA, CA US","2010-05-04","75","46","74"
"USC00047965","SANTA ROSA, CA US","2010-05-05","75","48","70"
"USC00047965","SANTA ROSA, CA US","2010-05-06","75","41","73"
"USC00047965","SANTA ROSA, CA US","2010-05-07","71","39","68"
"USC00047965","SANTA ROSA, CA US","2010-05-08","72","43","66"
"USC00047965","SANTA ROSA, CA US","2010-05-09","65","45","59"
"USC00047965","SANTA ROSA, CA US","2010-05-10","63","46","50"
"USC00047965","SANTA ROSA, CA US","2010-05-11","67","37","67"
"USC00047965","SANTA ROSA, CA US","2010-05-12","72","44","70"
"USC00047965","SANTA ROSA, CA US","2010-05-13","73","45","71"
"USC00047965","SANTA ROSA, CA US","2010-05-14","71","47","68"
"USC00047965","SANTA ROSA, CA US","2010-05-15","69","48","64"
"USC00047965","SANTA ROSA, CA US","2010-05-16","65","47","58"
"USC00047965","SANTA ROSA, CA US","2010-05-17","60","50","56"
"USC00047965","SANTA ROSA, CA US","2010-05-18","69","50","65"
"USC00047965","SANTA ROSA, CA US","2010-05-19","67","45","57"
"USC00047965","SANTA ROSA, CA US","2010-05-20","72","42","72"
"USC00047965","SANTA ROSA, CA US","2010-05-21","68","43","62"
"USC00047965","SANTA ROSA, CA US","2010-05-22","62","38","60"
"USC00047965","SANTA ROSA, CA US","2010-05-23","72","38","71"
"USC00047965","SANTA ROSA, CA US","2010-05-24","59","40","59"
"USC00047965","SANTA ROSA, CA US","2010-05-25","62","50","55"
"USC00047965","SANTA ROSA, CA US","2010-05-26","65","45","62"
"USC00047965","SANTA ROSA, CA US","2010-05-27","60","48","59"
"USC00047965","SANTA ROSA, CA US","2010-05-28","68","40","65"
"USC00047965","SANTA ROSA, CA US","2010-05-29","82","46","80"
"USC00047965","SANTA ROSA, CA US","2010-05-30","82","46","78"
"USC00047965","SANTA ROSA, CA US","2010-05-31","79","52","73"
"USC00047965","SANTA ROSA, CA US","2010-06-01","74","53","71"
"USC00047965","SANTA ROSA, CA US","2010-06-02","73","52","68"
"USC00047965","SANTA ROSA, CA US","2010-06-03","74","52","70"
"USC00047965","SANTA ROSA, CA US","2010-06-04","70","59","69"
"USC00047965","SANTA ROSA, CA US","2010-06-05","81","58","78"
"USC00047965","SANTA ROSA, CA US","2010-06-06","78","56","74"
"USC00047965","SANTA ROSA, CA US","2010-06-07","78","51","74"
"USC00047965","SANTA ROSA, CA US","2010-06-08","75","49","69"
"USC00047965","SANTA ROSA, CA US","2010-06-09","70","54","68"
"USC00047965","SANTA ROSA, CA US","2010-06-10","74","53","74"
"USC00047965","SANTA ROSA, CA US","2010-06-11","84","53","83"
"USC00047965","SANTA ROSA, CA US","2010-06-12","91","61","90"
"USC00047965","SANTA ROSA, CA US","2010-06-13","85","56","81"
"USC00047965","SANTA ROSA, CA US","2010-06-14",,"50","76"
"USC00047965","SANTA ROSA, CA US","2010-06-15","81","46","75"
"USC00047965","SANTA ROSA, CA US","2010-06-16","79","50","78"
"USC00047965","SANTA ROSA, CA US","2010-06-17","79","48","76"
"USC00047965","SANTA ROSA, CA US","2010-06-18","77","46","72"
"USC00047965","SANTA ROSA, CA US","2010-06-19","73","46","73"
"USC00047965","SANTA ROSA, CA US","2010-06-20","76","46","74"
"USC00047965","SANTA ROSA, CA US","2010-06-21","82","53","78"
"USC00047965","SANTA ROSA, CA US","2010-06-22","79","50","73"
"USC00047965","SANTA ROSA, CA US","2010-06-23","80","49","71"
"USC00047965","SANTA ROSA, CA US","2010-06-24","72","49","66"
"USC00047965","SANTA ROSA, CA US","2010-06-25","76","52","73"
"USC00047965","SANTA ROSA, CA US","2010-06-26","79","51","74"
"USC00047965","SANTA ROSA, CA US","2010-06-27","93","52","91"
"USC00047965","SANTA ROSA, CA US","2010-06-28","87","58","83"
"USC00047965","SANTA ROSA, CA US","2010-06-29","87","52","86"
"USC00047965","SANTA ROSA, CA US","2010-06-30","87","48","80"
"USC00047965","SANTA ROSA, CA US","2010-07-01","80","46","80"
"USC00047965","SANTA ROSA, CA US","2010-07-02","82","48","81"
"USC00047965","SANTA ROSA, CA US","2010-07-03","85","48","81"
"USC00047965","SANTA ROSA, CA US","2010-07-04","85","51","75"
"USC00047965","SANTA ROSA, CA US","2010-07-05","75","51","71"
"USC00047965","SANTA ROSA, CA US","2010-07-06","72","52","64"
"USC00047965","SANTA ROSA, CA US","2010-07-07","68","53","66"
"USC00047965","SANTA ROSA, CA US","2010-07-08","69","51","66"
"USC00047965","SANTA ROSA, CA US","2010-07-09","70","51","69"
"USC00047965","SANTA ROSA, CA US","2010-07-10","74","51","72"
"USC00047965","SANTA ROSA, CA US","2010-07-11","76","53","73"
